kode_prop,propinsi,kode_kab_kota,kabupaten_kota,kode_kec,kecamatan,npsn,sekolah,bentuk,status,alamat_jalan,lintang,bujur
20000,Prov. Jawa Barat,20500,Kab. Bogor,20503,Kec. Pamijahan,20200974,SDN CIBITUNG KULON 05,SD,N,Kp. Cidamar Rt. 04/06,-6.6473,106.6368
20000,Prov. Jawa Barat,26000,Kota Bandung,26015,Kec. Kiaracondong,20245461,SD NEGERI BABAKAN SINYAR 2,SD,N,Jl. Terusan Sukapura,-6.9275,107.6521
20000,Prov. Jawa Barat,21500,Kab. Kuningan,21509,Kec. Cidahu,20213583,SD NEGERI 1 CIEURIH,SD,N,Dusun Wage,-6.9515,108.6669
20000,Prov. Jawa Barat,20700,Kab. Cianjur,20702,Kec. Sindang Barang,20252055,SD NEGERI BOJONGKONENG,SD,N,Kp Bojongkoneng,-7.3556,107.1876
20000,Prov. Jawa Barat,20800,Kab. Bandung,20821,Kec. Margahayu,20268801,SMK MATHLAUL ANWAR,SMK,S,JL. TERS. KOPO NO. 302 MARGAHAYU,-6.976105,107.567985
20000,Prov. Jawa Barat,22100,Kab. Karawang,22116,Kec. Pedes,60728553,SD ISLAM TERPADU AL JIHAD,SD,S,Jl. Lingkar Pedes I,-6.0917,107.371
20000,Prov. Jawa Barat,20600,Kab. Sukabumi,20614,Kec. Cikembar,20203086,SD NEGERI 2 CIKEMBAR,SD,N,Jl. Cagak Cibatu,-7.00175,106.7972817
20000,Prov. Jawa Barat,21100,Kab. Garut,21109,Kec. Cisompet,20268874,SMP NEGERI 1 ATAP CISOMPET,SMP,N,Jl. Serma Durahman Desa Jati Sari Kec. Cisompet,-7.2092,107.9274
20000,Prov. Jawa Barat,22300,Kab. Bandung Barat,22315,Kec. Cipeundeuy,20206860,SD NEGERI BOJONGMEKAR,SD,N,Jl Rajamandala Km.3 RT.02 RW.04,-6.7524,107.3684
20000,Prov. Jawa Barat,22300,Kab. Bandung Barat,22308,Kec. Cipatat,20206498,SD NEGERI SUKAMAJU,SD,N,DESA CIPTAHARJA NO.19 RT.05 RW.16,-6.8333,107.3679
50000,Prov. Jawa Timur,52800,Kab. Sumenep,52825,Kec. Masalembu,20551892,SMAS DDI MASALEMBU,SMA,S,JL. PENDIDIKAN NO 1 AMBULUNG,-7.1285,114.775
50000,Prov. Jawa Timur,50300,Kab. Mojokerto,50301,Kec. Jatirejo,20502796,SDN KARANGJERUK,SD,N,Desa Karangjeruk,-7.583,112.4503
50000,Prov. Jawa Timur,50400,Kab. Jombang,50405,Kec. Ngoro,20504212,SD NEGERI BADANG 2,SD,N,Dsn.watulintang,-7.6722,112.2552
50000,Prov. Jawa Timur,52200,Kab. Bondowoso,52217,Kec. Cermee,20521564,SDN SULING KULON 2,SD,N,Suling Kulon,-7.7899,114.0377
50000,Prov. Jawa Timur,52400,Kab. Jember,52420,Kec. Panti,20523293,SD N SUCI 03,SD,N,Perkebunan Sentool,-8.1191,113.6162
50000,Prov. Jawa Timur,52500,Kab. Banyuwangi,52511,Kec. Srono,20525492,SD NEGERI 3 KEPUNDUNGAN,SD,N,Pekulo  Rt. 01 Rw 04,-8.3648,114.2243
50000,Prov. Jawa Timur,52200,Kab. Bondowoso,52223,Kec. Botolinggo,20522455,SDN BOTOLINGGO 1,SD,N,Botolinggo,-7.8818,113.9758
50000,Prov. Jawa Timur,51100,Kab. Ponorogo,51115,Kec. Sampung,20510668,SD NEGERI 1 SAMPUNG,SD,N,JLN.RAYA SAMPUNG NO.67,-7.8009,111.3641
50000,Prov. Jawa Timur,50700,Kab. Lamongan,50727,Kec. Sarirejo,20506296,SMAS MA`ARIF SARIREJO,SMA,S,JL. RAYA GEMPOLTUKMLOKO NO. 23  DESA GEMPOLTUKMLOKO,-7.1911,112.452
50000,Prov. Jawa Timur,50900,Kab. Ngawi,50911,Kec. Ngawi,20508488,SMKS 10 NOVEMBER,SMK,S,JL. RAYA SOLO KM.03 GRUDO,-7.4065,111.4271
50000,Prov. Jawa Timur,52000,Kab. Probolinggo,52004,Kec. Bantaran,20547061,SD NEGERI BESUK I,SD,N,Jl. Raya Besuk No. 10 Bantaran,-7.856,113.1859
50000,Prov. Jawa Timur,50400,Kab. Jombang,50411,Kec. Jogoroto,20549823,SD ISLAM TERPADU TASWIRUL AFKAR,SD,S,Jl Raya Kemirigalih Sawiji,-7.5755,112.2737
