kode_prop,propinsi,kode_kab_kota,kabupaten_kota,kode_kec,kecamatan,npsn,sekolah,bentuk,status,alamat_jalan,lintang,bujur
140000,Prov. Kalimantan Tengah,140200,Kab. Barito Selatan,140212,Kec. Gunung Bintang Awai,69761876,SMP NEGERI SATU ATAP 6 GUNUNG BINTANG AWAI,SMP,N,Muara Singan,-1.5314,115.0983
140000,Prov. Kalimantan Tengah,140600,Kab. Katingan,140608,Kec. Katingan Tengah,30202751,SMAN 1 KATINGAN TENGAH,SMA,N,JL. SMA No.1,-1.4615,113.1014
140000,Prov. Kalimantan Tengah,146000,Kota Palangka Raya,146001,Kec. Pahandut,30203596,SD NEGERI 12 LANGKAI,SD,N,Jl. RTA. Milono Km. 6,-2.264,113.9227
140000,Prov. Kalimantan Tengah,140100,Kab. Kapuas,140115,Kec. Mantangai,69728367,SMP NEGERI 5 MANTANGAI SATU ATAP,SMP,N,Pantar Kabali,-1.9184,114.4009
140000,Prov. Kalimantan Tengah,140100,Kab. Kapuas,140119,Kec. Bataguh,30200130,SD NEGERI 1 PULAU KUPANG,SD,N,Jl. H.Syamsuri RT.03,-3.0776,114.3595
140000,Prov. Kalimantan Tengah,140100,Kab. Kapuas,140119,Kec. Bataguh,30200399,SD NEGERI 3 TERUSAN KARYA,SD,N,Terusan Karya,-3.0453,114.293
140000,Prov. Kalimantan Tengah,140400,Kab. Kotawaringin Timur,140405,Kec. Pulau Hanaut,30201307,SD NEGERI 7 BAPINANG HILIR LAUT,SD,N,Jl. Bapinang Pagatan Sei Rungun Kab. Kotawaringin Timur,-2.9568,113.056
160000,Prov. Kalimantan Timur,161000,Kab. Kutai Timur,161005,Kec. Sangkulirang,69877316,SD KHARISMA PERSADA SANGKULIRANG,SD,S,"JL. POROS PERUM STAF AFD. FANTA, PT. SKP",1.044,118.087
160000,Prov. Kalimantan Timur,166000,Kota Samarinda,166006,Kec. Samarinda Utara,30401359,SD Negeri 005 Samarinda Utara,SD,N,Jl. Meranti Talangsari,-0.4609506,117.1948959
160000,Prov. Kalimantan Timur,160300,Kab. Berau,160301,Kec. Kelay,30404276,SD NEGERI 003 KELAY,SD,N,Kampung Merasa,1.8083,117.2396472
160000,Prov. Kalimantan Timur,166000,Kota Samarinda,166004,Kec. Sungai Kunjang,30401196,SD Negeri 016 Sungai Kunjang,SD,N,Jl. P. Antasari,-0.497575,117.126825
160000,Prov. Kalimantan Timur,166000,Kota Samarinda,166009,Kec. Samarinda Kota,30403003,SMP Muhammadiyah 1 Samarinda,SMP,S,Jl. Pangeran Hidayatullah Gg. Bakti No. 06,-0.5011083,117.1544383
160000,Prov. Kalimantan Timur,160900,Kab. Kutai Barat,160921,Kec. Tering,30402118,SD NEGERI 003 TERING,SD,N,Purworejo,-0.0871,115.6428
160000,Prov. Kalimantan Timur,160100,Kab. Paser,160104,Kec. Tanah Grogot,30405368,SD KARTIKA V-5 TANAH GROGOT,SD,S,Jl. Anden Oko Tanah Grogot,-1.9074,116.2008
160000,Prov. Kalimantan Timur,166100,Kota Balikpapan,166103,Kec. Balikpapan Utara,30401410,SD NEGERI 022 BALIKPAPAN UTARA,SD,N,Jl. GN. Stelling RT. 33,-1.2314,116.8472
340000,Prov. Kalimantan Utara,340300,Kab. Tana Tidung,340303,Kec. Tanah Lia,30402405,SD NEGERI 001 TANA LIA,SD,N,Tanah Merah,3.6731,117.543
340000,Prov. Kalimantan Utara,340500,Kab. Nunukan,340501,Kec. Krayan,30402647,SD NEGERI 001 KRAYAN,SD,N,Jl. Yuvai Semaring,3.8721,115.7309
340000,Prov. Kalimantan Utara,340100,Kab. Malinau,340112,Kec. Mentarang Hulu,30405698,SMP NEGERI 1 MENTARANG HULU,SMP,N,Jl. KOFOL RT I,3.8126,116.1884
340000,Prov. Kalimantan Utara,346000,Kota Tarakan,346003,Kec. Tarakan Barat,30401764,SD NEGERI 011 KARANG BALIK,SD,N,Jl. Adityawarman Rt.10,3.329,117.5926
340000,Prov. Kalimantan Utara,340500,Kab. Nunukan,340502,Kec. Lumbis,30402698,SD NEGERI 006 LUMBIS,SD,N,"JL. GEREJA KHATOLIK, DESA INTIN",3.6937,116.7808
340000,Prov. Kalimantan Utara,346000,Kota Tarakan,346003,Kec. Tarakan Barat,30401694,SD NEGERI 043 JUATA KERIKIL,SD,N,Jl. Aki Balak Rt. 17 No. 13,3.377,117.5529
340000,Prov. Kalimantan Utara,340200,Kab. Bulungan,340207,Kec. Tanjung Palas Utara,30402558,SMP NEGERI 1 TANJUNG PALAS UTARA,SMP,N,Jln Upt Pimping,3.0877,117.2168
340000,Prov. Kalimantan Utara,346000,Kota Tarakan,346003,Kec. Tarakan Barat,30401732,SD KRISTEN TUNAS KASIH,SD,S,Jl. Ki Hajar Dewantara,3.3303,117.5911
310000,Prov. Kepulauan Riau,316000,Kota Batam,316012,Kec. Batam Kota,11002472,SD MUHAMMADIYAH PLUS,SD,S,Komp. Taman Kurnia Djaya Alam,1.1012,104.0882
310000,Prov. Kepulauan Riau,316000,Kota Batam,316013,Kec. Sagulung,60728419,SMAN 17 BATAM,SMA,N,KAVLING BUKIT SEROJA.,1.128503,104.121791
310000,Prov. Kepulauan Riau,316000,Kota Batam,316012,Kec. Batam Kota,11001577,SD NEGERI 006 BATAM KOTA,SD,N,Perum. Taman Raya III,1.1207,104.0936
